,Molecule,A1,A2,Reduced mass,Electronic state,Te (cm^{-1}),omega_e (cm^{-1}),omega_ex_e (cm^{-1}),Be (cm^{-1}),alpha_e (cm^{-1}),De (10^{-7}cm^{-1}),Re (\AA),D0 (eV),IP (eV),Dipole moment (D),Frank-Condon factor,lambda00,recoil,N_photon,Reference,Date of reference,p1,g1,p2,g2,g1iso,g2iso,g_average,g1_lan_act,g2_lan_act,g1_lan_act_iso,g2_lan_act_iso,atom1,atom2,geometry,type1,type2,type,geometry_theta,e1,e2,n1,n2,sum_p,sum_g,diff_p,diff_g,product_p,product_g,Reduced_g,Reduced_p,g_average_lan_act,g_average_lan_act_iso,Re (\AA)^-1,Re (au),Re (au)^-1,Re (au)^2,Re (au)^-2,4*(np.pi**2)*Re (au),4*(np.pi**2)*Re (au)^-1,omega_e (au)^-2,4*(np.pi**2)*omega_e (au)^-2,omega_e (au),omega_e (au)^2,4*(np.pi**2)*omega_e (au)^2,K,sqrt(K),4*(np.pi**2)*omega_e (au),4*(np.pi**2)*Re (au)*omega_e (au)^2,ve1,ve2,log(D_e)/(R_e^3*Z_1*Z_2),ln(Re (\AA)),rcat,mu^(1/2)
296,LiK,39.0,6.941,5.892318408,X $^1 \Sigma^{+}$,0,207.0,30.2271,0.265,,,3.27,0.81091,4.69,3.41,0.000312255,826.6452641,4.314707378,0.0,"[1] MÃ¼ller, W. and Meyer, W., 1984. Groundâ€state properties of alkali dimers and their cations (including the elements Li, Na, and K) from ab initio calculations with effective core polarization potentials. The Journal of Chemical Physics, 80(7), pp.3311-3320. [2] F. Emgelke, Faraday Discuss. Chem. Soc. 71, 357 (1981) [3] Zmbov, K., Wu, C. and Ihle, H., 1977. A mass spectrometric study of heteronuclear diatomic alkali metal molecules. Dissociation energies and ionization potentials of NaLi, KLi, and NaK. The Journal of Chemical Physics, 67(10), pp.4603-4607.",[1] 1984 [2] 1981 [3]1977,4.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,K,Li,"Li
K 1 LiK2
LiK2= 3.27",Alkali Metal,Alkali Metal,Alkali Metal-Alkali Metal,Li\nK 1 LiK2\nLiK2= {0},19.0,3.0,3.941,20.0,6.0,2.0,2.0,0,8.0,1,0.5,1.3333333333333333,1.0,1.0,0.3058103975535168,6.179403982653003,0.16182790489296833,38.1850335808278,0.026188270802047605,243.95309097320475,0.004099148717528804,1102919.0694310053,27937.266394113794,0.0009522,9.066848400000001e-07,3.579448274906001e-05,0.00021091248960712476,0.014522826501997632,0.03759134924286915,0.0002211885692565456,1.0,1.0,-13.01315231095013,1.184789984909162,3.21,2.4274098145966208
297,LiCa,40.078,6.941,5.916361428,X $^2 \Sigma^{+}$,0,202.0,4.83,,,,3.36,0.841264,,1.12,0.000119294,1870.935464,1.899361934,0.0,"[1] A. Stein, M. Ivanova, A. Pashov, H. KnoÂ¨ckel and E. Tiemann, J. Chem. Phys., 2013, 138, 114306. 
[2] Wu, C., Ihle, H. and Gingerich, K., 1983. A mass spectrometric study of the alkaline earth diatomic molecules. Dissociation energies of Mg2, Ca2 and CaLi. International Journal of Mass Spectrometry and Ion Physics, 47, pp.235-238.
[4] Pototschnig, J., Meyer, R., Hauser, A. and Ernst, W., 2017. Vibronic transitions in the alkali-metal (Li, Na, K, Rb) â€“ alkaline-earth-metal (Ca, Sr) series: A systematic analysis of de-excitation mechanisms based on the graphical mapping of Frank-Condon integrals. Physical Review A, 95(2).",[1] 2013 [2] 1983 [4] 2017,4.0,2.0,2.0,1.0,2.0,1.0,1.5,2.0,1.0,2,1,Ca,Li,"Li
Ca 1 LiCa2
LiCa2= 3.36",Alkaline Earth Metal,Alkali Metal,Alkali Metal-Alkaline Earth Metal,Li\nCa 1 LiCa2\nLiCa2= {0},20.0,3.0,3.941,20.078000000000003,6.0,3.0,2.0,0,8.0,1,0.6666666666666666,1.3333333333333333,1.5,1.5,0.2976190476190476,6.349479321625104,0.15749322886904954,40.31588765574479,0.024804117139598826,250.667396229348,0.003989350091166426,1158194.765367345,29337.416128844776,0.0009292,8.634126400000001e-07,3.408616476680073e-05,0.00020166607045475244,0.014200917944089123,0.03668334563796893,0.0002164293983403074,2.0,1.0,-13.109150123664428,1.2119409739751128,3.21,2.4323571752520228
298,ZnH,1.0,65.38,0.984935221,X $^2\Sigma^+$,0,1607.6,55.14,6.6794,0.25,4660.0,1.5949,0.851,,0.663,0.8135,429.61,1.39,11.0,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.",7/1/1975 0:00,1.0,1.0,4.0,12.0,1.0,12.0,6.5,1.0,12.0,1,12,H,Zn,"Zn
H 1 ZnH2
ZnH2= 1.5949",H,Transition Metal,Transition Metal-H,Zn\nH 1 ZnH2\nZnH2= {0},1.0,30.0,35.379999999999995,0.0,5.0,13.0,3.0,0,4.0,144,0.9230769230769231,0.8,6.5,6.5,0.6269985579033168,3.0139239791844874,0.3317933719982485,9.083737752303254,0.11008684170196813,118.98494947803188,0.008404424293886256,18286.40531485194,463.2000577660839,0.00739496,5.46854334016e-05,0.002158894376703641,0.002126371110034258,0.04611259166468805,0.291941319047519,0.006506743530473653,1.0,2.0,-10.169106530367879,0.46681103834657134,1.5719,0.9924390263386461
299,LiNa,23.0,6.941,5.331919442,X $^1 \Sigma^{+}$,0,256.99,1.657,0.3768,0.00381,,2.885,0.89764,4.94,0.451,0.000860176,6684.458583,0.589950004,0.0,"[1] Engelke, F., Ennen, G. and Meiwes, K., 1982. Laser induced fluorescence spectroscopy of NaLi in beam and bulk. Chemical Physics, 66(3), pp.391-402. [2] Zmbov, K., Wu, C. and Ihle, H., 1977. A mass spectrometric study of heteronuclear diatomic alkali metal molecules. Dissociation energies and ionization potentials of NaLi, KLi, and NaK. The Journal of Chemical Physics, 67(10), pp.4603-4607. [3] Fellows, C., 1989. The NaLi A1Î£+ electronic state: First high resolution spectroscopic study. Journal of Molecular Spectroscopy, 136(2), pp.369-379.",[1] 1982 [2] 1977 [3] 1989,3.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,Na,Li,"Li
Na 1 LiNa2
LiNa2= 2.885",Alkali Metal,Alkali Metal,Alkali Metal-Alkali Metal,Li\nNa 1 LiNa2\nLiNa2= {0},11.0,3.0,3.941,12.0,5.0,2.0,1.0,0,6.0,1,0.5,1.2,1.0,1.0,0.3466204506065858,5.451859477050126,0.1834236564991357,29.722771757501278,0.03364423776351293,215.23078515525862,0.004646175496124503,715569.6098697468,18125.589962622158,0.0011821540000000001,1.3974880797160004e-06,5.517061800813981e-05,0.00029416529078475596,0.017151247499373214,0.04666956928466156,0.0003007824566423894,1.0,1.0,-11.989201326530676,1.0595248999600628,2.6663,2.309094940014377
300,HgCl,35.0,202.0,29.83122363,X,0,292.61,1.6025,,,,2.23,1.04,,,,,,,,,3.0,17.0,6.0,12.0,17.0,12.0,14.5,17.0,12.0,17,12,Cl,Hg,"Hg
Cl 1 HgCl2
HgCl2= 2.23",Halogen,Transition Metal,Transition Metal-Halogen,Hg\nCl 1 HgCl2\nHgCl2= {0},17.0,80.0,122.0,18.0,9.0,29.0,3.0,0,18.0,144,7.0344827586206895,2.0,14.5,14.5,0.4484304932735426,4.214088954530947,0.2372992147982092,17.75854571669973,0.05631091734384663,166.36556356888272,0.006010859330187979,551957.9695465544,13981.25869881958,0.001346006,1.8117321520360003e-06,7.152431848531841e-05,0.0021336579397188767,0.04619153536871097,0.05313818696597073,0.0003014098405093339,7.0,2.0,-14.788156905250144,0.8020015854720274,2.209026,5.461796740084713
301,MgH,1.0,24.0,0.96,X $^2\Sigma^+$,0,1495.2,31.889,5.8257,0.1859,3440.0,1.7297,1.34,,1.583,0.9398,520.11,3.02,37.0,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.",3/1/1977 0:00,1.0,1.0,3.0,2.0,1.0,2.0,1.5,1.0,2.0,1,2,H,Mg,"Mg
H 1 MgH2
MgH2= 1.7297",H,Alkaline Earth Metal,Alkaline Earth Metal-H,Mg\nH 1 MgH2\nMgH2= {0},1.0,12.0,12.0,0.0,4.0,3.0,2.0,0,3.0,4,0.6666666666666666,0.75,1.5,1.5,0.5781349366942244,3.268659042444923,0.3059358553506426,10.684131935756962,0.09359674758912931,129.04148668389976,0.007749445745689537,21139.064305782584,535.4587541383461,0.00687792,4.73057835264e-05,0.0018675574771565516,0.0017928551780702895,0.04234212061376106,0.27152939800936204,0.00610440863499339,1.0,2.0,-9.042213868285648,0.5479479830677406,1.72437,0.9797958971132712
302,SrH,1.0,88.0,0.988764045,X $^2\Sigma^+$,0,1206.2,17.0,3.6751,0.0814,1350.0,2.1456,1.66,,,,,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.",9/1/1977 0:00,1.0,1.0,5.0,2.0,1.0,2.0,1.5,1.0,2.0,1,2,H,Sr,"Sr
H 1 SrH2
SrH2= 2.1456",H,Alkaline Earth Metal,Alkaline Earth Metal-H,Sr\nH 1 SrH2\nSrH2= {0},1.0,38.0,50.0,0.0,6.0,3.0,4.0,0,5.0,4,0.6666666666666666,0.8333333333333334,1.5,1.5,0.46607009694258017,4.054596081094887,0.24663369174124095,16.43974938083002,0.06082817790191346,160.06903730645507,0.006247304393325499,32482.218869979504,822.7842158089506,0.00554852,3.0786074190400005e-05,0.0012153854932873416,0.0012017294765771123,0.034665970007733984,0.2190467896461293,0.004927897258102432,1.0,2.0,-10.62715914125101,0.763419233545277,2.0605,0.9943661523805002
303,CaH,1.0,40.0,0.975609756,X $^2\Sigma^+$,0,1298.34,19.1,4.2766,0.097,1837.0,2.0025,1.7,5.86,2.53,0.9848,693.82,1.39,150.0,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.",7/1/1976 0:00,1.0,1.0,4.0,2.0,1.0,2.0,1.5,1.0,2.0,1,2,H,Ca,"Ca
H 1 CaH2
CaH2= 2.0025",H,Alkaline Earth Metal,Alkaline Earth Metal-H,Ca\nH 1 CaH2\nCaH2= {0},1.0,20.0,20.0,0.0,5.0,3.0,3.0,0,4.0,4,0.6666666666666666,0.8,1.5,1.5,0.4993757802746567,3.784176292129247,0.26425830162297453,14.319990209913056,0.069832449976659,149.3932919491873,0.006693740976938423,28035.445523345697,710.1461310914166,0.005972364,3.5669131748496e-05,0.0014081608787519689,0.0013738154913279538,0.03706501708252613,0.23577948007723057,0.005328729012877088,1.0,2.0,-9.754426105630198,0.6943963999603772,1.9399,0.9877295966002031
304,IO,15.999,126.904,14.20779897,X $^2\Pi_{3/2}$,0,681.47,4.29,0.34026,0.002696,3.6,1.8676,1.8,,2.45,0.0049,463.87,0.6,0.0,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.",1/1/1977 0:00,2.0,16.0,5.0,17.0,16.0,17.0,16.5,16.0,17.0,16,17,O,I,"I
O 1 IO2
IO2= 1.8676",Nonmetal,Halogen,Halogen-Nonmetal,I\nO 1 IO2\nIO2= {0},8.0,53.0,73.904,7.9990000000000006,7.0,33.0,3.0,0,10.0,289,8.242424242424242,1.4285714285714286,16.5,16.5,0.5354465624330692,3.5292522562699533,0.2833461388948418,12.455621488386557,0.08028503442661497,139.3292944041459,0.0071772415433279035,101763.22290370177,2577.6925489655296,0.003134762,9.826732796644e-06,0.00038794386103234706,0.005511828389193204,0.07424168902438308,0.12375544332627071,0.001369151746854488,6.0,7.0,-12.542042225931018,0.6246541841146449,1.8388,3.769323410109565
305,CsH,1.0,133.0,0.992537313,X $^1\Sigma^+$,0,891.0,12.93,2.7099,0.0579,1130.0,2.4938,1.81,,,,,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.",11/1/1976 0:00,1.0,1.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,H,Cs,"Cs
H 1 CsH2
CsH2= 2.4938",H,Alkali Metal,Alkali Metal-H,Cs\nH 1 CsH2\nCsH2= {0},1.0,55.0,78.0,0.0,7.0,2.0,5.0,0,6.0,1,0.5,0.8571428571428571,1.0,1.0,0.4009944662763654,4.7125986703180605,0.21219714852835292,22.20858622748355,0.04502762984356388,186.04593830855595,0.005375016563605418,59529.04680430587,1507.888370828099,0.0040986,1.679852196e-05,0.0006631790650728489,0.0006582299672852576,0.02565599281425799,0.16180624239321936,0.003125296780245082,1.0,1.0,-11.361562177953028,0.9138076515803487,2.468989,0.9962616689404445
306,IBr,79.0,127.0,48.7038835,X,0,268.64,0.814,0.05683252,0.0001969,1.02,2.468989,1.8176,9.85,,,,,,,,4.0,17.0,5.0,17.0,17.0,17.0,17.0,17.0,17.0,17,17,Br,I,"I
Br 1 IBr2
IBr2= 2.468989",Halogen,Halogen,Halogen-Halogen,I\nBr 1 IBr2\nIBr2= {0},35.0,53.0,74.0,44.0,9.0,34.0,1.0,0,20.0,289,8.5,2.2222222222222223,17.0,17.0,0.4050240807067184,4.66571267881543,0.21432952880713785,21.768874801259052,0.04593714691868974,184.19495355622072,0.005429030387060935,654851.729803254,16587.588093474515,0.001235744,1.527063233536e-06,6.0286040041794606e-05,0.0029361642708719,0.05418638455250451,0.04878521768407907,0.00028127734137857577,7.0,7.0,-14.845682174078325,0.9038087551080793,2.372,6.978816769338482
307,KH,1.007,39.0,0.981653211,X $^1\Sigma^+$,0,983.6,14.32,3.4123,0.0817,1530.0,2.2425,1.86,,,,,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.",1/1/1977 0:00,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,H,K,"K
H 1 KH2
KH2= 2.2425",H,Alkali Metal,Alkali Metal-H,K\nH 1 KH2\nKH2= {0},1.0,19.0,20.0,0.006999999999999895,5.0,2.0,3.0,0,4.0,1,0.5,0.8,1.0,1.0,0.44593088071348935,4.237710529388184,0.23597647670011435,17.95819053088748,0.05568489755579961,167.2981059655693,0.005977353982751033,48848.05731240116,1237.33574638031,0.00452456,2.0471643193600002e-05,0.0008081880790443423,0.0007933604228858005,0.02816665444964667,0.17862246915597146,0.0034248671322922187,1.0,1.0,-9.952769319551019,0.8075913149508142,2.209026,0.9907841394572281
308,AgAl,27.0,107.0,21.55970149,X $^1\Sigma^+$,0,254.34,1.13,0.12796,0.00076,1.27,2.4728,1.95,,,,,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.",10/1/1974 0:00,3.0,13.0,5.0,11.0,13.0,11.0,12.0,13.0,11.0,13,11,Al,Ag,"Ag
Al 1 AgAl2
AgAl2= 2.4728",Metal,Transition Metal,Transition Metal-Metal,Ag\nAl 1 AgAl2\nAgAl2= {0},13.0,47.0,60.0,14.0,8.0,24.0,2.0,0,15.0,121,5.958333333333333,1.875,12.0,12.0,0.4043998705920414,4.672914424557904,0.2139992110158551,21.836129219241325,0.045795662315408485,184.47926708212253,0.0054206633396632125,730558.507781351,18505.263182096634,0.0011699640000000001,1.3688157612960003e-06,5.403868024786994e-05,0.001165057815057635,0.03413294325219604,0.04618832737406444,0.00025251812841434374,3.0,2.0,-13.669453805360494,0.9053511118357694,2.468989,4.643242562046484
309,BaD,2.0,137.327,1.971290561,X $^2\Sigma^+$,0,829.77,7.32,1.7071,0.02363,287.7,2.2304,1.97,,3.765,0.9794,1057.51,0.27,110.0,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.",2/1/1976 0:00,1.0,1.0,6.0,2.0,0.0,2.0,1.5,1.0,2.0,0,2,D,Ba,"Ba
D 1 BaD2
BaD2= 2.2304",D,Alkaline Earth Metal,Alkaline Earth Metal-D,Ba\nD 1 BaD2\nBaD2= {0},1.0,56.0,81.327,1.0,7.0,3.0,5.0,0,6.0,4,0.6666666666666666,0.8571428571428571,1.5,1.0,0.4483500717360115,4.214844844926378,0.23725665755021816,17.764917066802465,0.056290721551901485,166.39540492557668,0.006009781342503225,68638.67298651415,1738.6378976582425,0.003816942,1.4569046231363998e-05,0.0005751628912189778,0.0011338131784974408,0.03367214246966535,0.15068683024761126,0.0024242223470472596,1.0,2.0,-10.9599938559947,0.8021809415840677,2.209026,1.4040265528115912
310,TlH,1.0,205.0,0.995145631,X,0,1390.7,22.7,4.806,0.154,2.54,1.8702,1.97,,,,,,,,,1.0,1.0,6.0,13.0,1.0,13.0,7.0,1.0,13.0,1,13,H,Tl,"Tl
H 1 TlH2
TlH2= 1.8702",H,Metal,Metal-H,Tl\nH 1 TlH2\nTlH2= {0},1.0,81.0,124.0,0.0,7.0,14.0,5.0,0,6.0,169,0.9285714285714286,0.8571428571428571,7.0,7.0,0.5347021708908138,3.534165543840259,0.2829522238263322,12.490326091267713,0.0800619609682668,139.52326322265674,0.0071672635580789165,24435.286044261087,618.9530261609077,0.00639722,4.092442372840001e-05,0.0016156314901674498,0.0016077886187461571,0.04009723954022468,0.2525521226669475,0.005709909144093093,1.0,3.0,-10.800684626237416,0.6260453770192094,1.8388,0.9975698627163914
311,BeH,1.0,9.0,0.9,X $^2\Sigma^+$,0,2060.78,36.31,10.3164,0.303,10221.0,1.3426,2.034,8.21,0.264,0.9982,499.17,7.94,1243.0,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.",9/1/1976 0:00,1.0,1.0,2.0,2.0,1.0,2.0,1.5,1.0,2.0,1,2,H,Be,"Be
H 1 BeH2
BeH2= 1.3426",H,Alkaline Earth Metal,Alkaline Earth Metal-H,Be\nH 1 BeH2\nBeH2= {0},1.0,4.0,5.0,0.0,3.0,3.0,1.0,0,2.0,4,0.6666666666666666,0.6666666666666666,1.5,1.5,0.7448234768359898,2.537146112266031,0.3941436384626892,6.437110394986636,0.15534920774060704,100.1625137433103,0.00998377499353433,11128.101416015114,281.87810179065656,0.009479588,8.986258864974401e-05,0.003547632801723184,0.003192869521550866,0.05650548222562892,0.3742391337812555,0.009000862770639424,1.0,2.0,-6.766247044318311,0.2946080325225141,1.20752,0.9486832980505138
312,ICl,35.0,127.0,27.4382716,X $^1\Sigma^+$,0,384.293,1.501,0.1141587,0.0005354,0.403,2.320878,2.1531,10.08,1.207,0.0,727.69,0.34,0.0,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.",1/1/1977 0:00,3.0,17.0,5.0,17.0,17.0,17.0,17.0,17.0,17.0,17,17,Cl,I,"I
Cl 1 ICl2
ICl2= 2.320878",Halogen,Halogen,Halogen-Halogen,I\nCl 1 ICl2\nICl2= {0},17.0,53.0,74.0,18.0,8.0,34.0,2.0,0,15.0,289,8.5,1.875,17.0,17.0,0.430871420212523,4.38582347292102,0.22800735282078874,19.235447535624996,0.051987352940343644,173.14537060296925,0.005775493716739609,320006.93422720203,8105.870337413962,0.0017677478000000001,3.1249322844048404e-06,0.00012336738170907295,0.0033849877259144157,0.05818064734870536,0.06978788586758412,0.0005410675584924594,7.0,7.0,-13.768566163825367,0.8419455623605943,2.261,5.238155362338921
313,BrCl,35.0,79.0,24.25438596,X $^1\Sigma^+$,0,444.276,1.843,0.1524695,0.0007697,0.7183,2.136065,2.233,11.1,,,,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.",6/1/1976 0:00,3.0,17.0,4.0,17.0,17.0,17.0,17.0,17.0,17.0,17,17,Cl,Br,"Br
Cl 1 BrCl2
BrCl2= 2.136065",Halogen,Halogen,Halogen-Halogen,Br\nCl 1 BrCl2\nBrCl2= {0},17.0,35.0,44.0,18.0,7.0,34.0,1.0,0,12.0,289,8.5,1.7142857142857142,17.0,17.0,0.46815054785317867,4.036577543793788,0.24773461903079097,16.29395826706029,0.06137244146633114,159.35769396626256,0.0062751912073458396,239430.03580579485,6064.833656842612,0.0020436696,4.17658543396416e-06,0.0001648849839223135,0.003999184039060187,0.06323910213673331,0.08068084191413011,0.0006655710234096105,7.0,7.0,-13.068244369984518,0.7589653513465541,2.0605,4.924874207530585
314,AgH,1.0,107.868,0.990814564,X $^1\Sigma^+$,0,1759.9,34.06,6.449,0.201,3.44,1.6181,2.28,,2.86,0.9035,333.79,1.09,22.0,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.",10/1/1974 0:00,1.0,1.0,5.0,11.0,1.0,11.0,6.0,1.0,11.0,1,11,H,Ag,"Ag
H 1 AgH2
AgH2= 1.6181",H,Transition Metal,Transition Metal-H,Ag\nH 1 AgH2\nAgH2= {0},1.0,47.0,60.867999999999995,0.0,6.0,12.0,4.0,0,5.0,121,0.9166666666666666,0.8333333333333334,6.0,6.0,0.6180087757246152,3.057765622119518,0.32703618379581395,9.349930599815963,0.10695266551172938,120.71574816628214,0.008283923309016249,15258.377454264357,386.49921603190637,0.00809554,6.55377678916e-05,0.0025873273696820328,0.0025635616397167702,0.050631626872111965,0.31959910885277976,0.007911440684182638,1.0,2.0,-9.675862906271831,0.4812526214236254,1.6011,0.9953966867535776
315,CuTe,130.0,63.0,42.43523316,X,0,252.67,0.701,0.07205,0.00028,0.265,2.349,2.35,,,0.3561,625.31,0.33,2.0,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.",10/1/1975 0:00,5.0,16.0,4.0,11.0,16.0,11.0,13.5,16.0,11.0,16,11,Te,Cu,"Cu
Te 1 CuTe2
CuTe2= 2.349",Metalloid,Transition Metal,Transition Metal-Metalloid,Cu\nTe 1 CuTe2\nCuTe2= {0},52.0,29.0,34.0,78.0,9.0,27.0,1.0,0,20.0,121,6.518518518518518,2.2222222222222223,13.5,13.5,0.42571306939123027,4.438966347171837,0.22527767092380008,19.70442223132408,0.05075002901685196,175.24336718533883,0.005706350066547123,740247.5453171981,18750.6893699684,0.001162282,1.3508994475239998e-06,5.3331372530848205e-05,0.002263129228089363,0.04757235781511531,0.045885054170027764,0.00023673616791291966,6.0,2.0,-14.232226220699408,0.8539897056767758,2.3384,6.514233121404238
316,MgS,32.0,14.0,9.739130435,X $^1\Sigma^+$,0,528.74,2.704,0.26797,0.00176,2.76,2.1425,2.4,,,,,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.",3/1/1977 0:00,3.0,16.0,3.0,2.0,16.0,2.0,9.0,16.0,2.0,16,2,S,Mg,"Mg
S 1 MgS2
MgS2= 2.1425",Nonmetal,Alkaline Earth Metal,Alkaline Earth Metal-Nonmetal,Mg\nS 1 MgS2\nMgS2= {0},16.0,12.0,2.0,16.0,6.0,18.0,0.0,0,9.0,4,1.7777777777777777,1.5,9.0,9.0,0.46674445740956827,4.048737930530293,0.24699054795799605,16.39227883011472,0.06100433078059115,159.8377667920768,0.006256343666893438,169044.09442563087,4281.936933738009,0.002432204,5.9156162976159995e-06,0.0002335391705844272,0.0022744684440034516,0.04769138752441002,0.09601956521098856,0.0009455388982097548,6.0,2.0,-11.874079632400521,0.7619733714897978,2.0605,3.1207579904568057
317,LiH,1.0,7.0,0.875,X,0,1405.65,23.2,7.5131,0.2132,0.8617,1.5957,2.42871,,,,,,,,,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,H,Li,"Li
H 1 LiH2
LiH2= 1.5957",H,Alkali Metal,Alkali Metal-H,Li\nH 1 LiH2\nLiH2= {0},1.0,3.0,4.0,0.0,3.0,2.0,1.0,0,2.0,1,0.5,0.6666666666666666,1.0,1.0,0.6266842138246538,3.0154357599753503,0.3316270282634622,9.092852822538118,0.10997648587485513,119.04463219141981,0.008400210757861248,23918.279840653973,605.8571060359317,0.0064659900000000005,4.18090266801e-05,0.0016505542149087096,0.001444234938045121,0.03800309116433979,0.25526705344559913,0.004977140203413762,1.0,1.0,-6.819322454031449,0.46731251143424446,1.5719,0.9354143466934853
318,InH,1.0,115.0,0.99137931,X $^1\Sigma^+$,0,1476.04,25.61,4.9945,0.1428,2230.0,1.838,2.48,,,,,,,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.",1/1/1977 0:00,1.0,1.0,5.0,13.0,1.0,13.0,7.0,1.0,13.0,1,13,H,In,"In
H 1 InH2
InH2= 1.838",H,Metal,Metal-H,In\nH 1 InH2\nInH2= {0},1.0,49.0,66.0,0.0,6.0,14.0,4.0,0,5.0,169,0.9285714285714286,0.8333333333333334,7.0,7.0,0.544069640914037,3.4733163670080183,0.2879092758433115,12.06392658532578,0.08289175111662,137.12103400879215,0.007292827152513161,21691.42497111979,549.450213240705,0.006789784,4.6101166766656004e-05,0.00182000111366217,0.0018043114482616338,0.04247718738642701,0.2680499281953844,0.006321439656055637,1.0,3.0,-10.015728692991468,0.6086780239334953,1.79,0.995680325204832
319,MnH,1.0,55.0,0.982142857,X $^7\Sigma$,0,1548.0,28.8,5.6841,0.157,3039.0,1.7311,2.5,,3.60$^{\ddag}$,0.7876,568.28,1.25,9.0,"K.P.Huber and G.Herzberg, Molecular Spectra and Molecular Structure. Springer-Verlag, Berlin, Germany, 1979.",10/1/1975 0:00,1.0,1.0,4.0,7.0,1.0,7.0,4.0,1.0,7.0,1,7,H,Mn,"Mn
H 1 MnH2
MnH2= 1.7311",H,Transition Metal,Transition Metal-H,Mn\nH 1 MnH2\nMnH2= {0},1.0,25.0,30.0,0.0,5.0,8.0,3.0,0,4.0,49,0.875,0.8,4.0,4.0,0.5776673791231008,3.271304658828934,0.3056884345214063,10.701434170875887,0.09344541900014813,129.14593143232867,0.007743178502870539,19721.612619287516,499.5542834804691,0.0071208,5.070579264e-05,0.0020017844568018736,0.001966038305501585,0.04434003050857752,0.2811179160771084,0.006548446819507316,1.0,2.0,-9.154989110052933,0.5487570446005469,1.72437,0.9910312088930399
320,BrF,19.0,79.0,15.31632653,X,0,670.75,4.054,0.35584,0.00261,0.401,1.75894,2.54,11.78,,,,,,,,2.0,17.0,4.0,17.0,17.0,17.0,17.0,17.0,17.0,17,17,F,Br,"Br
F 1 BrF2
BrF2= 1.75894",F,Halogen,Halogen-F,Br\nF 1 BrF2\nBrF2= {0},9.0,35.0,44.0,10.0,6.0,34.0,2.0,0,8.0,289,8.5,1.3333333333333333,17.0,17.0,0.5685242248172194,3.3239146303509703,0.30085008527863744,11.048408469861227,0.09051077381216341,131.22288985822897,0.007620621684832451,105041.99802163849,2660.744892927128,0.00308545,9.5200017025e-06,0.0003758346028054887,0.005756405497841719,0.07587097928616526,0.12180868359736464,0.0012492421348573098,7.0,7.0,-11.720675505703577,0.5647113548837145,1.75,3.9136078661511298
321,PbTe,127.6,207.2,78.96869773,X,0,211.96,0.43,0.03130774,6.74e-05,2.7,2.594975,2.55,,,,,,,,,5.0,16.0,6.0,14.0,16.0,14.0,15.0,16.0,14.0,16,14,Te,Pb,"Pb
Te 1 PbTe2
PbTe2= 2.594975",Metalloid,Metal,Metal-Metalloid,Pb\nTe 1 PbTe2\nPbTe2= {0},52.0,82.0,125.19999999999999,75.6,11.0,30.0,1.0,0,30.0,196,7.466666666666667,2.727272727272727,15.0,15.0,0.3853601672463126,4.90379169721253,0.20392383317758614,24.04717300965055,0.041584929737839976,193.593936467337,0.005165451037608914,1051904.989133519,26645.064644572147,0.000975016,9.506562002559999e-07,3.753040247187801e-05,0.0029637270084869796,0.054440123149079846,0.03849208881893017,0.00018404127603464005,6.0,4.0,-15.488733137912824,0.9535768826600775,2.5371,8.886433352588652
